ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GOSLIM_ID,GOSLIM_Name,contrast
GO:0006783,heme biosynthetic process,3/30,20/14185,0.15,70.925,14.406027359910386,9.498166986416988e-6,0.00262504463860462,0.00220128448681102,ACROYT_G008089/ACROYT_G032710/ACROYT_G004649,3,NA,NA,10v25
GO:0006779,porphyrin-containing compound biosynthetic process,3/30,23/14185,0.13043478260869565,61.67391304347826,13.406292158871617,1.4692414022040783e-5,0.00262504463860462,0.00220128448681102,ACROYT_G008089/ACROYT_G032710/ACROYT_G004649,3,NA,NA,10v25
GO:0033014,tetrapyrrole biosynthetic process,3/30,23/14185,0.13043478260869565,61.67391304347826,13.406292158871617,1.4692414022040783e-5,0.00262504463860462,0.00220128448681102,ACROYT_G008089/ACROYT_G032710/ACROYT_G004649,3,NA,NA,10v25
GO:0042168,heme metabolic process,3/30,41/14185,0.07317073170731707,34.59756097560975,9.917874469703465,8.619347694744087e-5,0.0114306882255961,0.00958543572727717,ACROYT_G008089/ACROYT_G032710/ACROYT_G004649,3,NA,NA,10v25
GO:0006778,porphyrin-containing compound metabolic process,3/30,44/14185,0.06818181818181818,32.23863636363636,9.553959514624903,1.0662955434324727e-4,0.0114306882255961,0.00958543572727717,ACROYT_G008089/ACROYT_G032710/ACROYT_G004649,3,NA,NA,10v25
GO:0035794,positive regulation of mitochondrial membrane permeability,2/30,10/14185,0.2,94.56666666666666,13.625883641029963,1.9254390907076787e-4,0.01474336218027594,0.01236334574033351,ACROYT_G001231/ACROYT_G003176,2,NA,NA,10v25
GO:1905710,positive regulation of membrane permeability,2/30,12/14185,0.16666666666666666,78.80555555555556,12.412960955166469,2.8165558630132163e-4,0.01887092428218855,0.01582459675666636,ACROYT_G001231/ACROYT_G003176,2,NA,NA,10v25
GO:2000001,regulation of DNA damage checkpoint,2/30,16/14185,0.125,59.104166666666664,10.705395583294962,5.094138862450602e-4,0.03033842700303914,0.02544090402650768,ACROYT_G002805/ACROYT_G016799,2,NA,NA,10v25
GO:0046148,pigment biosynthetic process,3/30,81/14185,0.03703703703703703,17.512345679012345,6.860964677065594,6.516336424988806e-4,0.03106800812017206,0.02605270908741844,ACROYT_G008089/ACROYT_G032710/ACROYT_G004649,3,NA,NA,10v25
GO:0005743,mitochondrial inner membrane,5/30,340/14185,0.01470588235294117,6.953431372549019,5.115232544091591,6.684462155654934e-4,0.03106800812017206,0.02605270908741844,ACROYT_G008089/ACROYT_G031846/ACROYT_G032710/ACROYT_G001231/ACROYT_G004649,5,NA,NA,10v25
GO:0019866,organelle inner membrane,5/30,343/14185,0.01457725947521865,6.892614188532556,5.085816617811173,6.955524206008671e-4,0.03106800812017206,0.02605270908741844,ACROYT_G008089/ACROYT_G031846/ACROYT_G032710/ACROYT_G001231/ACROYT_G004649,5,NA,NA,10v25
GO:0007005,mitochondrion organization,5/30,374/14185,0.01336898395721925,6.321301247771836,4.801159522814518,0.0010265421684672,0.04232512325372468,0.03549259157372435,ACROYT_G031846/ACROYT_G032710/ACROYT_G036614/ACROYT_G001231/ACROYT_G003176,5,GO:0007005,mitochondrion organization,10v25
GO:0000070,mitotic sister chromatid segregation,14/159,145/14185,0.09655172413793103,8.613749728909129,9.811378959557764,8.540172729382768e-10,1.8796920177371475e-6,1.6657831650048709e-6,ACROYT_G043168/ACROYT_G011372/ACROYT_G006387/ACROYT_G017013/ACROYT_G025695/ACROYT_G010184/ACROYT_G025577/ACROYT_G035417/ACROYT_G007708/ACROYT_G029490/ACROYT_G032456/ACROYT_G005778/ACROYT_G028878/ACROYT_G006315,14,GO:0007059,chromosome segregation,10v5
GO:0098813,nuclear chromosome segregation,16/159,227/14185,0.07048458149779736,6.288199927963872,8.55145872139321,5.262255813663291e-9,4.505049784741432e-6,3.992375356238013e-6,ACROYT_G043168/ACROYT_G011372/ACROYT_G006374/ACROYT_G020690/ACROYT_G006387/ACROYT_G017013/ACROYT_G025695/ACROYT_G010184/ACROYT_G025577/ACROYT_G035417/ACROYT_G000625/ACROYT_G007708/ACROYT_G029490/ACROYT_G032456/ACROYT_G005778/ACROYT_G006315,16,GO:0007059,chromosome segregation,10v5
GO:0000280,nuclear division,20/159,371/14185,0.05390835579514825,4.809371238705522,7.916104772802836,6.140458588925169e-9,4.505049784741432e-6,3.992375356238013e-6,ACROYT_G001680/ACROYT_G006757/ACROYT_G043168/ACROYT_G011871/ACROYT_G011372/ACROYT_G006374/ACROYT_G020690/ACROYT_G006387/ACROYT_G017013/ACROYT_G001679/ACROYT_G025695/ACROYT_G010184/ACROYT_G025577/ACROYT_G035417/ACROYT_G007708/ACROYT_G029490/ACROYT_G032456/ACROYT_G005778/ACROYT_G033190/ACROYT_G006315,20,NA,NA,10v5
GO:0007059,chromosome segregation,17/159,269/14185,0.06319702602230483,5.638049145449019,8.176835905283658,8.848768853939231e-9,4.869035061880062e-6,4.3149391279866826e-6,ACROYT_G043168/ACROYT_G011372/ACROYT_G006374/ACROYT_G020690/ACROYT_G006387/ACROYT_G017013/ACROYT_G025695/ACROYT_G010184/ACROYT_G025577/ACROYT_G035417/ACROYT_G000625/ACROYT_G007708/ACROYT_G029490/ACROYT_G032456/ACROYT_G025257/ACROYT_G005778/ACROYT_G006315,17,GO:0007059,chromosome segregation,10v5
